tick,pop_prey,pop_pred,walls_built
374,150,5,0
375,150,5,0
376,150,5,0
377,150,5,0
378,150,5,0
379,150,5,0
380,150,5,0
381,150,5,0
382,150,5,0
383,150,5,0
384,150,5,0
385,150,5,0
386,150,5,0
387,150,5,0
388,150,5,0
389,150,5,0
390,150,5,0
391,150,5,0
392,150,5,0
393,150,5,0
394,150,5,0
395,150,5,0
396,150,5,0
397,150,5,0
398,150,5,0
399,150,5,0
400,150,5,0
401,150,5,0
402,150,5,0
403,150,5,0
404,150,5,0
405,150,5,0
406,150,5,0
407,150,5,0
408,150,5,0
409,150,5,0
410,150,5,0
411,150,5,0
412,150,5,0
413,150,5,0
414,150,5,0
415,150,5,0
416,150,5,0
417,150,5,0
418,150,5,0
419,150,5,0
420,150,5,0
421,150,5,0
422,150,5,0
423,150,5,0
424,150,5,0
425,150,5,0
426,150,5,0
427,150,5,0
428,150,5,0
429,150,5,0
430,150,5,0
431,150,5,0
432,150,5,0
433,150,5,0
434,150,5,0
435,150,5,0
436,150,5,0
437,150,5,0
438,150,5,0
439,150,5,0
440,150,5,0
441,150,5,0
442,150,5,0
443,150,5,0
444,150,5,0
445,150,5,0
446,150,5,0
447,150,5,0
448,150,5,0
449,150,5,0
450,150,5,0
451,150,5,0
452,150,5,0
453,150,5,0
454,150,5,0
455,150,5,0
456,150,5,0
457,150,5,0
458,150,5,0
459,150,5,0
460,150,5,0
461,150,5,0
462,150,5,0
463,150,5,0
464,150,5,0
465,150,5,0
466,150,5,0
467,150,5,0
468,150,5,0
469,150,5,0
470,150,5,0
471,150,5,0
472,150,5,0
473,150,5,0
474,150,5,0
475,150,5,0
476,150,5,0
477,150,5,0
478,150,5,0
479,150,5,0
480,150,5,0
481,150,5,0
482,150,5,0
483,150,5,0
484,150,5,0
485,150,5,0
486,150,5,0
487,150,5,0
488,150,5,0
489,150,5,0
490,150,5,0
491,150,5,0
492,150,5,0
493,150,5,0
494,150,5,0
495,150,5,0
496,150,5,0
497,150,5,0
498,150,5,0
499,150,5,0
500,150,5,0
501,150,5,0
502,150,5,0
503,150,5,0
504,150,5,0
505,150,5,0
506,150,5,0
507,150,5,0
508,150,5,0
509,150,5,0
510,150,5,0
511,150,5,0
512,150,5,0
513,150,5,0
514,150,5,0
515,150,5,0
516,150,5,0
517,150,5,0
518,150,5,0
519,150,5,0
520,150,5,0
521,150,5,0
522,150,5,0
523,150,5,0
524,150,5,0
525,150,5,0
526,150,5,0
527,150,5,0
528,150,5,0
529,150,5,0
530,150,5,0
531,150,5,0
532,150,5,0
533,150,5,0
534,150,5,0
535,150,5,0
536,150,5,0
537,150,5,0
538,150,5,0
539,150,5,0
540,150,5,0
541,150,5,0
542,150,5,0
543,150,5,0
544,150,5,0
545,150,5,0
546,150,5,0
547,150,5,0
548,150,5,0
549,150,5,0
550,150,5,0
551,150,5,0
552,150,5,0
553,150,5,0
554,150,5,0
555,150,5,0
556,150,5,0
557,150,5,0
558,150,5,0
559,150,5,0
560,150,5,0
561,150,5,0
562,150,5,0
563,150,5,0
564,150,5,0
565,150,5,0
566,150,5,0
567,150,5,0
568,150,5,0
569,150,5,0
570,150,5,0
571,150,5,0
572,150,5,0
573,150,5,0
574,150,5,0
575,150,5,0
576,150,5,0
577,150,5,0
578,150,5,0
579,150,5,0
580,150,5,0
581,150,5,0
582,150,5,0
583,150,5,0
584,150,5,0
585,150,5,0
586,150,5,0
587,150,5,0
588,150,5,0
589,150,5,0
590,150,5,0
591,150,5,0
592,150,5,0
593,150,5,0
594,150,5,0
595,150,5,0
596,150,5,0
597,150,5,0
598,150,5,0
599,150,5,0
600,150,5,0
601,150,5,0
602,150,5,0
603,150,5,0
604,150,5,0
605,150,5,0
606,150,5,0
607,150,5,0
608,150,5,0
609,150,5,0
610,150,5,0
611,150,5,0
612,150,5,0
613,150,5,0
614,150,5,0
615,150,5,0
616,150,5,0
617,150,5,0
618,150,5,0
619,150,5,0
620,150,5,0
621,150,5,0
622,150,5,0
623,150,5,0
624,150,5,0
625,150,5,0
626,150,5,0
627,150,5,0
628,150,5,0
629,150,5,0
630,150,5,0
631,150,5,0
632,150,5,0
633,150,5,0
634,150,5,0
635,150,5,0
636,150,5,0
637,150,5,0
638,150,5,0
639,150,5,0
640,150,5,0
641,150,5,0
642,150,5,0
643,150,5,0
644,150,5,0
645,150,5,0
646,150,5,0
647,150,5,0
648,150,5,0
649,150,5,0
650,150,5,0
651,150,5,0
652,150,5,0
653,150,5,0
654,150,5,0
655,150,5,0
656,150,5,0
657,150,5,0
658,150,5,0
659,150,5,0
660,150,5,0
661,150,5,0
662,150,5,0
663,150,5,0
664,150,5,0
665,150,5,0
666,150,5,0
667,150,5,0
668,150,5,0
669,150,5,0
670,150,5,0
671,150,5,0
672,150,5,0
673,150,5,0
674,150,5,0
675,150,5,0
676,150,5,0
677,150,5,0
678,150,5,0
679,150,5,0
680,150,5,0
681,150,5,0
682,150,5,0
683,150,5,0
684,150,5,0
685,150,5,0
686,150,5,0
687,150,5,0
688,150,5,0
689,150,5,0
690,150,5,0
691,150,5,0
692,150,5,0
693,150,5,0
694,150,5,0
695,150,5,0
696,150,5,0
697,150,5,0
698,150,5,0
699,150,5,0
700,150,5,0
701,150,5,0
702,150,5,0
703,150,5,0
704,150,5,0
705,150,5,0
706,150,5,0
707,150,5,0
708,150,5,0
709,150,5,0
710,150,5,0
711,150,5,0
712,150,5,0
713,150,5,0
714,150,5,0
715,150,5,0
716,150,5,0
717,150,5,0
718,150,5,0
719,150,5,0
720,150,5,0
721,150,5,0
722,150,5,0
723,150,5,0
724,150,5,0
725,150,5,0
726,150,5,0
727,150,5,0
728,150,5,0
729,150,5,0
730,150,5,0
731,150,5,0
732,150,5,0
733,150,5,0
734,150,5,0
735,150,5,0
736,150,5,0
737,150,5,0
738,150,5,0
739,150,5,0
740,150,5,0
741,150,5,0
742,150,5,0
743,150,5,0
744,150,5,0
745,150,5,0
746,150,5,0
747,150,5,0
748,150,5,0
749,150,5,0
750,150,5,0
751,150,5,0
752,150,5,0
753,150,5,0
754,150,5,0
755,150,5,0
756,150,5,0
757,150,5,0
758,150,5,0
759,150,5,0
760,150,5,0
761,150,5,0
762,150,5,0
763,150,5,0
764,150,5,0
765,150,5,0
766,150,5,0
767,150,5,0
768,150,5,0
769,150,5,0
770,150,5,0
771,150,5,0
772,150,5,0
773,150,5,0
774,150,5,0
775,150,5,0
776,150,5,0
777,150,5,0
778,150,5,0
779,150,5,0
780,150,5,0
781,150,5,0
782,150,5,0
783,150,5,0
784,150,5,0
785,150,5,0
786,150,5,0
787,150,5,0
788,150,5,0
789,150,5,0
790,150,5,0
791,150,5,0
792,150,5,0
793,150,5,0
794,150,5,0
795,150,5,0
796,150,5,0
797,150,5,0
798,150,5,0
799,150,5,0
800,150,5,0
801,150,5,0
802,150,5,0
803,150,5,0
804,150,5,0
805,150,5,0
806,150,5,0
807,150,5,0
808,150,5,0
809,150,5,0
810,150,5,0
811,150,5,0
812,150,5,0
813,150,5,0
814,150,5,0
815,150,5,0
816,150,5,0
817,150,5,0
818,150,5,0
819,150,5,0
820,150,5,0
821,150,5,0
822,150,5,0
823,150,5,0
824,150,5,0
825,150,5,0
826,150,5,0
827,150,5,0
828,150,5,0
829,150,5,0
830,150,5,0
831,150,5,0
832,150,5,0
833,150,5,0
834,150,5,0
835,150,5,0
836,150,5,0
837,150,5,0
838,150,5,0
839,150,5,0
840,150,5,0
841,150,5,0
842,150,5,0
843,150,5,0
844,150,5,0
845,150,5,0
846,150,5,0
847,150,5,0
848,150,5,0
849,150,5,0
850,150,5,0
851,150,5,0
852,150,5,0
853,150,5,0
854,150,5,0
855,150,5,0
856,150,5,0
857,150,5,0
858,150,5,0
859,150,5,0
860,150,5,0
861,150,5,0
862,150,5,0
863,150,5,0
864,150,5,0
865,150,5,0
866,150,5,0
867,150,5,0
868,150,5,0
869,150,5,0
870,150,5,0
871,150,5,0
872,150,5,0
873,150,5,0
874,150,5,0
875,150,5,0
876,150,5,0
877,150,5,0
878,150,5,0
879,150,5,0
880,150,5,0
881,150,5,0
882,150,5,0
883,150,5,0
884,150,5,0
885,150,5,0
886,150,5,0
887,150,5,0
888,150,5,0
889,150,5,0
890,150,5,0
891,150,5,0
892,150,5,0
893,150,5,0
894,150,5,0
895,150,5,0
896,150,5,0
897,150,5,0
898,150,5,0
899,150,5,0
900,150,5,0
901,150,5,0
902,150,5,0
903,150,5,0
904,150,5,0
905,150,5,0
906,150,5,0
907,150,5,0
908,150,5,0
909,150,5,0
910,150,5,0
911,150,5,0
912,150,5,0
913,150,5,0
914,150,5,0
915,150,5,0
916,150,5,0
917,150,5,0
918,150,5,0
919,150,5,0
920,150,5,0
921,150,5,0
922,150,5,0
923,150,5,0
924,150,5,0
925,150,5,0
926,150,5,0
927,150,5,0
928,150,5,0
929,150,5,0
930,150,5,0
931,150,5,0
932,150,5,0
933,150,5,0
934,150,5,0
935,150,5,0
936,150,5,0
937,150,5,0
938,150,5,0
939,150,5,0
940,150,5,0
941,150,5,0
942,150,5,0
943,150,5,0
944,150,5,0
945,150,5,0
946,150,5,0
947,150,5,0
948,150,5,0
949,150,5,0
950,150,5,0
951,150,5,0
952,150,5,0
953,150,5,0
954,150,5,0
955,150,5,0
956,150,5,0
957,150,5,0
958,150,5,0
959,150,5,0
960,150,5,0
961,150,5,0
962,150,5,0
963,150,5,0
964,150,5,0
965,150,5,0
966,150,5,0
967,150,5,0
968,150,5,0
969,150,5,0
970,150,5,0
971,150,5,0
972,150,5,0
973,150,5,0
974,150,5,0
975,150,5,0
976,150,5,0
977,150,5,0
978,150,5,0
979,150,5,0
980,150,5,0
981,150,5,0
982,150,5,0
983,150,5,0
984,150,5,0
985,150,5,0
986,150,5,0
987,150,5,0
988,150,5,0
989,150,5,0
990,150,5,0
991,150,5,0
992,150,5,0
993,150,5,0
994,150,5,0
995,150,5,0
996,150,5,0
997,150,5,0
998,150,5,0
999,150,5,0
1000,150,5,0
