Pattern_ID,First_Occurrence,Last_Occurrence,First_Cycle_Num,Last_Cycle_Num,First_Commit_Hash,First_Commit_Date,First_Commit_Subject,Evolution_Commits,Lifespan_Cycles,Category,Framework,Source_Location
P2-MR-008,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:1077
P2-MR-009,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:1081
P2-MR-010,Cycle967-971,Cycle972,967,972,4e43b71,2025-11-04,Paper 2: Master source assembly initiated + continuation plan (Cycle 967),2,5,MR,T,CLAUDE.md
CS-MP-001,Cycle967,Cycle968,967,968,4e43b71,2025-11-04,Paper 2: Master source assembly initiated + continuation plan (Cycle 967),2,1,MP,U,CYCLE967_ASSEMBLY_CONTINUATION.md
CS-MP-002,Cycle968,Cycle969,968,969,8364c58,2025-11-04,Paper 2 V2: Master source core assembly complete (Cycle 968),1,1,MP,U,CYCLE968_ASSEMBLY_COMPLETE.md
CS-MP-003,Cycle968,Cycle969,968,969,8364c58,2025-11-04,Paper 2 V2: Master source core assembly complete (Cycle 968),1,1,MP,U,CYCLE968_ASSEMBLY_COMPLETE.md
CS-MP-004,Cycle970,Cycle970,970,970,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,0,MP,U,CYCLE970_DOCX_CONVERSION_COMPLETE.md
CS-MP-005,Cycle970,Cycle970,970,970,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,0,MP,T,CYCLE970_FINAL_SUMMARY.md
CS-MR-001,Cycle967,Cycle970,967,970,4e43b71,2025-11-04,Paper 2: Master source assembly initiated + continuation plan (Cycle 967),2,3,MR,U,CYCLE967_PAPER2_ASSEMBLY_STATUS.md
CS-MR-002,Cycle968,Cycle969,968,969,8364c58,2025-11-04,Paper 2 V2: Master source core assembly complete (Cycle 968),1,1,MR,U,CYCLE969_PLACEHOLDER_INSERTION_COMPLETE.md
CS-MR-003,Cycle967,Cycle968,967,968,4e43b71,2025-11-04,Paper 2: Master source assembly initiated + continuation plan (Cycle 967),2,1,MR,U,CYCLE967_PAPER2_ASSEMBLY_STATUS.md
CS-MR-004,Cycle970,Cycle971,970,971,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,1,MR,T,CYCLE970_FINAL_SUMMARY.md
CS-MR-005,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,MR,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-001,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-002,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-003,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-004,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-005,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-006,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-007,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-008,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-009,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-TS-010,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,TS,T,CYCLE971_PAPER3_PLANNING_COMPLETE.md
CS-MP-006,Cycle970,Cycle970,970,970,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,0,MP,U,CYCLE970_DOCX_CONVERSION_COMPLETE.md
CS-MP-007,Cycle970,Cycle970,970,970,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,0,MP,U,CYCLE970_FINAL_SUMMARY.md
CS-MR-006,Cycle970,Cycle970,970,970,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,0,MR,T,CYCLE970_FINAL_SUMMARY.md
CS-MR-007,Cycle967,Cycle968,967,968,4e43b71,2025-11-04,Paper 2: Master source assembly initiated + continuation plan (Cycle 967),2,1,MR,U,CYCLE967_PAPER2_ASSEMBLY_STATUS.md
CS-MR-008,Cycle968,Cycle969,968,969,8364c58,2025-11-04,Paper 2 V2: Master source core assembly complete (Cycle 968),1,1,MR,U,CYCLE968_ASSEMBLY_COMPLETE.md
CS-MR-009,Cycle968,Cycle969,968,969,8364c58,2025-11-04,Paper 2 V2: Master source core assembly complete (Cycle 968),1,1,MR,U,CYCLE969_PLACEHOLDER_INSERTION_COMPLETE.md
CS-MP-008,Cycle970,Cycle971,970,971,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,1,MP,T,CYCLE970_FINAL_SUMMARY.md
CS-MP-009,Cycle970,Cycle970,970,970,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,0,MP,T,CYCLE970_FINAL_SUMMARY.md
CC-MP-001,Cycle176,Cycle176,176,176,NOT_FOUND,,,0,0,MP,U,cycle176_v6_baseline_validation.py:5-21
CC-MP-002,Cycle176,Cycle176,176,176,NOT_FOUND,,,0,0,MP,U,cycle176_v6_baseline_validation.py:56-58
CC-MP-003,Cycle176,Cycle176,176,176,NOT_FOUND,,,0,0,MP,U,cycle176_v6_baseline_validation.py:10-13
CC-MP-004,Cycle176,Cycle176,176,176,NOT_FOUND,,,0,0,MP,U,cycle176_v6_baseline_validation.py:50
CC-MP-005,Cycle176,Cycle176,176,176,NOT_FOUND,,,0,0,MP,N,cycle176_v6_baseline_validation.py:9-18
CC-MP-006,Cycle176,Cycle176,176,176,NOT_FOUND,,,0,0,MP,N,"cycle176_v6_baseline_validation.py:16,120"
CC-MP-007,Cycle176,Cycle176,176,176,NOT_FOUND,,,0,0,MP,N,cycle176_v6_baseline_validation.py:118
CC-MP-008,Cycle176,Cycle176,176,176,NOT_FOUND,,,0,0,MP,N,"cycle176_v6_baseline_validation.py:46,107"
FD-OP-001,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,MP,R,CLAUDE.md
FD-OP-002,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,FP,R,CLAUDE.md
FD-OP-003,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,MR,T,CLAUDE.md
FD-OP-004,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,FP,R,CLAUDE.md
FD-OP-005,Cycle443,Cycle976,443,976,ffb60a5,2025-10-28,Cycle 479: Update Paper 5D cover letter to reflect Cycle 443 rescoping,6,533,MP,U,CLAUDE.md
FD-FP-001,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,FP,N,CLAUDE.md
FD-FP-002,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,FP,S,CLAUDE.md
FD-FP-003,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,FP,T,CLAUDE.md
FD-FP-004,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,FP,R,META_OBJECTIVES.md
FD-MP-001,Cycle678,Cycle712,678,712,01269c7,2025-10-30,Documentation: Update to V6.19 for Cycle 678,2,34,MP,T,EXECUTIVE_SUMMARY.md
FD-MP-002,Cycle678,Cycle712,678,712,01269c7,2025-10-30,Documentation: Update to V6.19 for Cycle 678,2,34,MP,T,EXECUTIVE_SUMMARY.md
FD-MP-003,Cycle707,Cycle712,707,712,bc0c4e1,2025-10-31,Cycle 707 summary: Documentation versioning V6.35 update,1,5,MP,U,EXECUTIVE_SUMMARY.md
FD-MP-004,Cycle698,Cycle976,698,976,44caccb,2025-10-31,Add Cycle 698 summary - Paper 8 analysis infrastructure complete,2,278,MP,U,PUBLICATION_PIPELINE.md
FD-MP-005,Cycle698,Cycle976,698,976,44caccb,2025-10-31,Add Cycle 698 summary - Paper 8 analysis infrastructure complete,2,278,MP,U,PUBLICATION_PIPELINE.md
FD-MP-006,Cycle698,Cycle976,698,976,44caccb,2025-10-31,Add Cycle 698 summary - Paper 8 analysis infrastructure complete,2,278,MP,U,META_OBJECTIVES.md
FD-MP-007,Cycle443,Cycle976,443,976,ffb60a5,2025-10-28,Cycle 479: Update Paper 5D cover letter to reflect Cycle 443 rescoping,6,533,MP,U,CLAUDE.md
FD-MP-008,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,MP,U,CLAUDE.md
FD-MP-009,Cycle701,Cycle712,701,712,1722d12,2025-10-31,Add Cycle 701 summary - README integration for Cycles 699-700,1,11,MP,U,EXECUTIVE_SUMMARY.md
FD-MR-001,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,MR,T,CLAUDE.md
FD-MR-002,Cycle1,Cycle976,1,976,NOT_FOUND,,,0,975,MR,S,CLAUDE.md
FD-MR-003,Cycle678,Cycle976,678,976,01269c7,2025-10-30,Documentation: Update to V6.19 for Cycle 678,2,298,MR,T,EXECUTIVE_SUMMARY.md
FD-MR-004,Cycle698,Cycle976,698,976,44caccb,2025-10-31,Add Cycle 698 summary - Paper 8 analysis infrastructure complete,2,278,MR,S,PUBLICATION_PIPELINE.md
FD-MR-005,Cycle891,Cycle976,891,976,2868ee1,2025-11-01,Cycle 897: Documentation update - V6.53 + Cycle 891 summary,2,85,MR,U,META_OBJECTIVES.md
FD-TS-001,Cycle678,Cycle976,678,976,01269c7,2025-10-30,Documentation: Update to V6.19 for Cycle 678,2,298,TS,T,EXECUTIVE_SUMMARY.md
FD-TS-002,Cycle970,Cycle976,970,976,55686ca,2025-11-04,Paper 3 preliminary outline: Temporal Stewardship validation (Cycle 970),5,6,TS,T,PUBLICATION_PIPELINE.md
FD-TS-003,Cycle865,Cycle976,865,976,1a87153,2025-11-01,Document Cycle 865 reproducibility verification,4,111,TS,T,CLAUDE.md
